Individual1,Individual2,Known.relationship
MN197159_F2,MN197159,PO
MN197159_F1,MN197159,PO
MN197159_F1,MN197159_F2,Siblings
MN164236_F1,MN164236,PO
MN164234_F2,MN164234,PO
MN164234_F1,MN164234,PO
MN164234_F1,MN164234_F2,Siblings
MN164225_F2,MN164225,PO
MN164215_F2,MN164215,PO
MN164215_F1,MN164215_F2,Siblings
MN164215_F1,MN164215,PO
MN164214_F2,MN164214,PO
MN164214_F1,MN164214,PO
MN164214_F1,MN164214_F2,Siblings
MN164212_F2,MN164212,PO
MN164210_F2,MN164210,PO
MN164210_F1,MN164210_F2,Siblings
MN164210_F1,MN164210,PO
MN164201_F2,MN164201,PO
MN164201_F1,MN164201_F2,Siblings
MN164201_F1,MN164201,PO
MN164199_F3,MN164199,PO
MN164199_F2,MN164199_F1,Siblings
MN164199_F2,MN164199,PO
MN164199_F2,MN164199_F3,Siblings
MN164199_F1,MN164199,PO
MN164199_F1,MN164199_F3,Siblings
MN164197_F1,MN164197_F2,Siblings
MN164196_F2,MN164196,PO
MN164196_F1,MN164196_F2,Siblings
MN164196_F1,MN164196,PO
MN164194_F2,MN164194,PO
MN164194_F1,MN164194_F2,Siblings
MN164194_F1,MN164194,PO
MN164193_F2,MN164193_F1,Siblings
MN164193_F2,MN164193,PO
MN164193_F1,MN164193,PO
,,
